# Simulation 1 (Up to date)
# 1097 data points written for 11 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Position East of launch (m),Position North of launch (m),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,90,0
0.01,0,0,0,0,0,0,0,0,90,0
0.02,0,0,0,0,0,0,0,0,90,0
0.03,0,0.001,0.629,0,0,0,0,0,90,0
0.04,0.001,0.378,74.73,-1.85e-5,0,0,0,0,90,0
0.05,0.01,1.396,128.975,-6.518e-5,0,0,0,0,90,0
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.03,2.747,141.085,-1.428e-4,0,0,0,0,90,0
0.07,0.064,3.938,97.149,-2.379e-4,0,0,0,0,90,0
0.08,0.108,4.88,91.297,-3.33e-4,0,0,0,0,90,0
0.09,0.162,5.82,96.649,-4.28e-4,0,0,0,0,90,0
0.1,0.225,6.813,102.048,-5.231e-4,0,0,0,0,90,0
0.11,0.298,7.848,104.862,-6.182e-4,0,0,0,0,90,0
0.12,0.382,8.91,107.677,-7.133e-4,0,0,0,0,90,0
0.13,0.476,10.001,110.493,-8.083e-4,0,0,0,0,90,0
0.14,0.582,11.12,113.309,-9.034e-4,0,0,0,0,90,0
0.15,0.699,12.268,116.124,-9.985e-4,0,0,0,0,90,0
0.16,0.827,13.443,118.939,-0.001,0,0,0,0,90,0
0.17,0.968,14.646,121.755,-0.001,0,0,0,0,90,0
0.18,1.12,15.878,124.571,-0.001,0,0,0,0,90,0
0.19,1.285,17.138,127.386,-0.001,0,0,0,0,90,0
0.2,1.463,18.426,130.201,-0.001,0,0,0,0,90,0
0.21,1.654,19.732,131.066,-0.002,0,0,0,0,90,0
0.22,1.858,21.047,131.927,-0.002,0,0,0,0,90,0
0.23,2.075,22.371,132.785,-0.002,0,0,0,0,90,0
0.24,2.305,23.703,133.64,-0.002,0,0,0,0,90,0
0.25,2.549,25.043,134.492,-0.002,0,0,0,0,90,0
0.26,2.806,26.392,135.344,-0.002,0,0,0,0,90,0
0.27,3.077,27.75,136.192,-0.002,0,0,0,0,90,0
0.28,3.361,29.116,137.037,-0.002,0,0,0,0,90,0
0.29,3.659,30.491,137.879,-0.002,0,0,0,0,90,0
# Event LAUNCHROD occurred at t=0.3 seconds
0.3,3.971,31.874,138.716,-0.002,0,0,0,0,90,0
0.315,4.465,33.96,139.437,-0.003,0,0,1.881,-2.204e-4,89.986,89.991
0.337,5.264,37.109,140.506,-0.006,0,0,5.063,-1.638e-4,89.909,89.995
0.364,6.298,40.853,141.757,-0.012,0,0,9.313,3.582e-4,89.719,89.999
0.388,7.319,44.266,142.875,-0.02,0,3.066e-7,13.394,5.093e-5,89.447,90
0.4,7.86,45.983,143.424,-0.025,-9.095e-9,3.191e-7,15.464,-1.976e-4,89.274,90
0.418,8.71,48.572,144.502,-0.033,-3.27e-8,4.319e-7,18.481,-3.817e-4,88.968,90
0.443,9.954,52.159,145.932,-0.045,-8.386e-8,0,22.188,-1.548e-4,88.465,90
0.472,11.553,56.479,147.535,-0.058,-1.578e-7,0,25.555,-3.376e-4,87.759,90
